,LL,LS,SLA,LDMC,future,actual,Hmax,Bmean,Lth,LNC,PL,SPL,Chl,SSD,TDMC,WCsat,SS,area.atual,area.futuro,AUC.med,taxa.omiss,AIC.var,AIC,diference
Mimosa tenuiflora,,1937.5075,11.975,421.1325,255495,194364,7.33,0.042747173,0.084,21.17,12.0625,3.153333333,21.5075,0.734,610.98,64.432,0.5,749782,1008700,0.701280246,0.067901235,68.60572705,8818.682479,0.27347015
Piptadenia stipulacea,7,3815.587558,14.98491558,440.7866667,213597,202338,9.38,0.011455128,0.1066,34.8,29.05333333,1.7,24.86,0.635085143,595.1475,71.5075,1,571586,339721,0.758857624,0.104919679,41.14720771,8897.901215,0.054151496
Pseudobombax marginatum,,34444.96,17.02,293.59,320300,254489,7,0.14899,0.265,22.18,147.1,0.79,37.59,0.225,220.58,362.13,1,692886,961369,0.732079722,0.15,6.641836234,2730.06424,0.230000444
Schinopsis brasiliensis,,2250.66,10.74,500.04,255016,198254,12,0.002359155,0.16, ,13.96, ,53.94,0.79,638.22,59.56,4,423883,267232,0.807696009,0.203783784,19.96432162,7828.587415,0.251777251
Senegalia polyphylla,,7345.2652,13.877652,,265118,349793,8.34,0.018386836,0.115,25.71, , , ,0.65743788, , ,1.2,615067,159437,0.782921929,0.129298942,0,2905.116001,-0.277166541
Senna rizzinii,,2562.273505,17.91453505,395.65,212019,226159,6.65,0.004875673,0.1625, ,25.97, ,51.9,0.705294019,617.07,63.4,0.6,327490,295395,0.841868816,0.129310345,3.967590826,3034.751108,-0.064562398
Spondias tuberosa,,2259.89022,26.3424022,160.56,295746,269357,7,0.439358881,0.2175, ,37.54, ,50.54,0.537866873,509.69,96.65,2,590392,907993,0.761728485,0.159194712,39.78224381,6869.989714,0.093463341
Varronia leucocephala,,1114.63719,11.1463719,,267114,304842,4.5, ,0.271666667, , , , ,0.676325005, , ,1,389757,542744,0.799783401,0.158163265,25.8085245,5171.096069,-0.132118076
Ximenia americana,10,1293.32,8.48,423.32,213510,201441,7.25,0.0125,0.236666667,18.62,6.53, ,67.69,0.626666667,595.5333333,68.56,0.8,661422,138179,0.727374693,0.187096774,63.47814009,3403.034226,0.058187135
Sarcomphalus joazeiro,12,2193.310724,21.93310724,,425377,371546,10,0.050036461,0.146666667, , , , ,0.712806713, , ,0.95,705629,1020980,0.743011951,0.026315789,25.61252391,8300.271908,0.135303156
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
